entity_surface	gold_transcript	levenshtein_norm	document_id	entity_fine_type	wikidata_id
Odyſjeus	Odyſſeus	0.125	Wecklein1894_0006	pers.myth	http://www.wikidata.org/entity/Q47231
Aia3	Aias	0.25	Wecklein1894_0006	pers.myth	http://www.wikidata.org/entity/Q172725
Aia3	Aias	0.25	Wecklein1894_0006	pers.myth	http://www.wikidata.org/entity/Q172725
Odyſjeus	Odyſſeus	0.125	Wecklein1894_0007	pers.myth	http://www.wikidata.org/entity/Q47231
Θροῇσσαι	Θρῇσσαι	0.125	Wecklein1894_0008	work.primlit	
"""OnJw» κοίσις"	Ὅπλων κρίσις	0.5384615384615384	Wecklein1894_0008	work.primlit	
Θοῇσσαι	Θρῇσσαι	0.14285714285714285	Wecklein1894_0008	work.primlit	
δ.	Öd.	0.6666666666666666	Wecklein1894_0015	work.primlit	http://www.wikidata.org/entity/Q35160
Rhil.	Phil.	0.2	Wecklein1894_0017	work.primlit	http://www.wikidata.org/entity/Q1415903
Od.	Öd.	0.3333333333333333	Wecklein1894_0018	work.primlit	http://www.wikidata.org/entity/Q35160
u. ö.	Öd.	0.8	Wecklein1894_0018	work.primlit	http://www.wikidata.org/entity/Q35160
Od.	Öd.	0.3333333333333333	Wecklein1894_0019	work.primlit	http://www.wikidata.org/entity/Q35160
Aſch.	Äſch.	0.2	Wecklein1894_0019	pers.author	http://www.wikidata.org/entity/Q40939
Od.	Öd.	0.3333333333333333	Wecklein1894_0019	work.primlit	http://www.wikidata.org/entity/Q35160
Od.	Öd.	0.3333333333333333	Wecklein1894_0020	work.primlit	http://www.wikidata.org/entity/Q35160
Aſch.	Äſch.	0.2	Wecklein1894_0021	pers.author	http://www.wikidata.org/entity/Q40939
Benob.	Zenob.	0.16666666666666666	Wecklein1894_0022	pers.author	http://www.wikidata.org/entity/Q189699
Od.	Öd.	0.3333333333333333	Wecklein1894_0022	work.primlit	http://www.wikidata.org/entity/Q35160
Od.	Öd.	0.3333333333333333	Wecklein1894_0025	work.primlit	http://www.wikidata.org/entity/Q35160
Aſch.	Äſch.	0.2	Wecklein1894_0025	pers.author	http://www.wikidata.org/entity/Q40939
Trag. adesp.	Frag. adesp.	0.08333333333333333	Wecklein1894_0026	work.fragm	
Ὁ. T.	O. T.	0.2	Wecklein1894_0026	work.primlit	http://www.wikidata.org/entity/Q148643
Aſch.	Äſch.	0.2	Wecklein1894_0029	pers.author	http://www.wikidata.org/entity/Q40939
Jon	Ion	0.3333333333333333	Wecklein1894_0029	work.primlit	http://www.wikidata.org/entity/Q614607
äſch.	Äſch.	0.2	Wecklein1894_0030	pers.author	http://www.wikidata.org/entity/Q40939
Od.	Öd.	0.3333333333333333	Wecklein1894_0031	work.primlit	http://www.wikidata.org/entity/Q35160
Aſch.	Äſch.	0.2	Wecklein1894_0032	pers.author	http://www.wikidata.org/entity/Q40939
Aſch.	Äſch.	0.2	Wecklein1894_0032	pers.author	http://www.wikidata.org/entity/Q40939
Aſch.	Äſch.	0.2	Wecklein1894_0033	pers.author	http://www.wikidata.org/entity/Q40939
Rr.	Kr.	0.3333333333333333	Wecklein1894_0035	pers.author	
Aſch.	Äſch.	0.2	Wecklein1894_0035	pers.author	http://www.wikidata.org/entity/Q40939
Aſch.	Äſch.	0.2	Wecklein1894_0038	pers.author	http://www.wikidata.org/entity/Q40939
Lobe>	Lobeck	0.3333333333333333	Wecklein1894_0040	pers.author	http://www.wikidata.org/entity/Q84734
Cur.	Eur.	0.25	Wecklein1894_0042	pers.author	http://www.wikidata.org/entity/Q48305
Aſch.	Äſch.	0.2	Wecklein1894_0043	pers.author	http://www.wikidata.org/entity/Q40939
Od. Tyr.	Öd. Tyr.	0.125	Wecklein1894_0046	work.primlit	http://www.wikidata.org/entity/Q148643
Od. Tyr.	Öd. Tyr.	0.125	Wecklein1894_0048	work.primlit	http://www.wikidata.org/entity/Q148643
Od. Tyr.	Öd. Tyr.	0.125	Wecklein1894_0048	work.primlit	http://www.wikidata.org/entity/Q148643
Od.	Öd.	0.3333333333333333	Wecklein1894_0049	work.primlit	http://www.wikidata.org/entity/Q35160
Od.	Öd.	0.3333333333333333	Wecklein1894_0050	work.primlit	http://www.wikidata.org/entity/Q35160
Zl.	Il.	0.3333333333333333	Wecklein1894_0054	work.primlit	http://www.wikidata.org/entity/Q8275
Od.	Öd.	0.3333333333333333	Wecklein1894_0057	work.primlit	http://www.wikidata.org/entity/Q35160
