entity_surface	gold_transcript	levenshtein_norm	document_id	entity_fine_type	wikidata_id
Choéphoroe	Choëphoroe	0.1	cu31924087948174_0011	work.primlit	http://www.wikidata.org/entity/Q11688406
EL	El.	0.6666666666666666	cu31924087948174_0012	work.primlit	http://www.wikidata.org/entity/Q733444
155%	1552/3	0.5	cu31924087948174_0014	date	
Diibner	Dübner	0.2857142857142857	cu31924087948174_0016	pers.other	http://www.wikidata.org/entity/Q97220
EL	El.	0.6666666666666666	cu31924087948174_0028	work.primlit	http://www.wikidata.org/entity/Q733444
elios	Helios	0.16666666666666666	cu31924087948174_0038	pers.myth	http://www.wikidata.org/entity/Q134270
Zragicorum Graecorum Fragmenta	Tragicorum Graecorum Fragmenta	0.03333333333333333	cu31924087948174_0040	work.fragm	
EL,	El.	0.6666666666666666	cu31924087948174_0041	work.primlit	http://www.wikidata.org/entity/Q733444
I A.	I. A.	0.2	cu31924087948174_0044	work.primlit	http://www.wikidata.org/entity/Q1233770
Mids. N. Ὁ,	Mids. N. D.	0.18181818181818182	cu31924087948174_0045	work.primlit	http://www.wikidata.org/entity/Q104871
Ο, C.	O. C.	0.4	cu31924087948174_0045	work.primlit	http://www.wikidata.org/entity/Q294001
Aesch,	Aesch.	0.16666666666666666	cu31924087948174_0045	pers.author	http://www.wikidata.org/entity/Q40939
Thue.	Thuc.	0.2	cu31924087948174_0045	pers.author	http://www.wikidata.org/entity/Q41683
ΕἸ.	El.	0.6666666666666666	cu31924087948174_0045	work.primlit	http://www.wikidata.org/entity/Q733444
Hat.	Hdt.	0.25	cu31924087948174_0046	pers.author	http://www.wikidata.org/entity/Q26825
E.onL.	E. on L.	0.25	cu31924087948174_0047	work.seclit	
ΟἹ.	Ol.	0.6666666666666666	cu31924087948174_0051	work.primlit	http://www.wikidata.org/entity/Q18146776
5,	S.	1.0	cu31924087948174_0051	pers.author	
El	El.	0.3333333333333333	cu31924087948174_0052	work.primlit	http://www.wikidata.org/entity/Q733444
IL	Il.	0.6666666666666666	cu31924087948174_0053	work.primlit	http://www.wikidata.org/entity/Q8275
El	El.	0.3333333333333333	cu31924087948174_0053	work.primlit	http://www.wikidata.org/entity/Q733444
ΕἸ,	El.	1.0	cu31924087948174_0054	work.primlit	http://www.wikidata.org/entity/Q540161
Pind.	Pind. Ol. 10. 99	0.6875	cu31924087948174_0054	pers.author	http://www.wikidata.org/entity/Q134929
OL	Ol.	0.6666666666666666	cu31924087948174_0054	work.primlit	http://www.wikidata.org/entity/Q18146776
Pers,	Pers.	0.2	cu31924087948174_0054	work.primlit	http://www.wikidata.org/entity/Q788458
5. c¢. Τὶ	S. c. T.	0.4444444444444444	cu31924087948174_0056	work.primlit	http://www.wikidata.org/entity/Q506546
Ale.	Alc.	0.25	cu31924087948174_0057	pers.author	http://www.wikidata.org/entity/Q212872
Essay on L	Essay on L.	0.09090909090909091	cu31924087948174_0057	work.seclit	
1].	Il.	0.6666666666666666	cu31924087948174_0059	work.primlit	http://www.wikidata.org/entity/Q8275
1].	Il.	0.6666666666666666	cu31924087948174_0059	work.primlit	http://www.wikidata.org/entity/Q8275
Sophokl. Ge- singe	Sophokl. Ge- sänge	0.0625	cu31924087948174_0060	work.seclit	
11.	Il.	0.6666666666666666	cu31924087948174_0060	work.primlit	http://www.wikidata.org/entity/Q8275
Alc,	Alc.	0.25	cu31924087948174_0062	work.primlit	http://www.wikidata.org/entity/Q1246408
Ο. 7.	O. T.	0.4	cu31924087948174_0064	work.primlit	http://www.wikidata.org/entity/Q148643
1b.	ib.	0.3333333333333333	cu31924087948174_0065	work.primlit	
ἘΠ.	El.	0.6666666666666666	cu31924087948174_0065	work.primlit	http://www.wikidata.org/entity/Q733444
OL	Ol.	0.6666666666666666	cu31924087948174_0065	work.primlit	http://www.wikidata.org/entity/Q18146776
Essay on IL.	Essay on L.	0.08333333333333333	cu31924087948174_0070	work.seclit	
Thue.	Thuc.	0.2	cu31924087948174_0071	pers.author	http://www.wikidata.org/entity/Q41683
El	El.	0.3333333333333333	cu31924087948174_0073	work.primlit	http://www.wikidata.org/entity/Q733444
Ὁ. C.	O. C.	0.2	cu31924087948174_0073	work.primlit	http://www.wikidata.org/entity/Q294001
Pers,	Pers.	0.2	cu31924087948174_0076	work.primlit	http://www.wikidata.org/entity/Q788458
EL	El.	0.6666666666666666	cu31924087948174_0077	work.primlit	http://www.wikidata.org/entity/Q733444
EL	El.	0.6666666666666666	cu31924087948174_0077	work.primlit	http://www.wikidata.org/entity/Q733444
Aesch,	Aesch.	0.16666666666666666	cu31924087948174_0078	pers.author	http://www.wikidata.org/entity/Q40939
EL	El.	0.6666666666666666	cu31924087948174_0078	work.primlit	http://www.wikidata.org/entity/Q733444
Ὁ. C.	O. C.	0.2	cu31924087948174_0079	work.primlit	http://www.wikidata.org/entity/Q294001
Phoen,	Phoen.	0.16666666666666666	cu31924087948174_0079	work.primlit	http://www.wikidata.org/entity/Q1233660
E.onL.	E. on L.	0.25	cu31924087948174_0079	work.seclit	
Essay onL.	Essay on L.	0.09090909090909091	cu31924087948174_0081	work.seclit	
