TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/de/retokenized/Wecklein1894_0026.xmi
# hipe2022:license = CC-BY
# hipe2022:language = de
# hipe2022:document_type = commentary
# hipe2022:document_id = Wecklein1894_0026
# hipe2022:date = 1894-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.2
# ajmc:title = Sophokleus Aias
# ajmc:publication_place = München
# ajmc:publication_date = 1894
# ajmc:page = 26
# ajmc:author = Wecklein, Nikolaus
VIII	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference
36	I-scope	_	I-scope	_	_	O	_	_	InPrimaryReference
ἅπτεται	O	_	O	_	_	O	_	_	_
(	O	_	O	_	_	O	_	_	NoSpaceAfter
φϑόνος	O	_	O	_	_	O	_	_	NoSpaceAfter
)	O	_	O	_	_	O	_	_	_
ἐσλῶν	O	_	O	_	_	O	_	_	_
ἀεί	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
χειρόνεσσι	O	_	O	_	_	O	_	_	_
0	O	_	O	_	_	O	_	_	_
οὐκ	O	_	O	_	_	O	_	_	_
ἐρίζει	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Trag	B-work	_	B-work.fragm	_	_	O	NIL	_	InPrimaryReference|NoSpaceAfter
.	I-work	_	I-work.fragm	_	_	O	NIL	_	InPrimaryReference
adesp	I-work	_	I-work.fragm	_	_	O	NIL	_	InPrimaryReference|NoSpaceAfter
.	I-work	_	I-work.fragm	_	_	O	NIL	_	InPrimaryReference
547	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter
,	O	_	O	_	_	O	_	_	InPrimaryReference
12	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference
πρὸς	O	_	O	_	_	O	_	_	_
γὰρ	O	_	O	_	_	O	_	_	_
τὸ	O	_	O	_	_	O	_	_	_
λαμπρὸν	O	_	O	_	_	O	_	_	_
6	O	_	O	_	_	O	_	_	_
φϑόνος	O	_	O	_	_	O	_	_	_
λιάζετα	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
158	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Man	O	_	O	_	_	O	_	_	_
iſt	O	_	O	_	_	O	_	_	_
verſucht	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
dieſen	O	_	O	_	_	O	_	_	_
Worten	O	_	O	_	_	O	_	_	_
eine	O	_	O	_	_	O	_	_	_
Mahnung	O	_	O	_	_	O	_	_	_
zu	O	_	O	_	_	O	_	_	_
erblicken	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
nicht	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
großen	O	_	O	_	_	O	_	_	_
Staatsmann	O	_	O	_	_	O	_	_	_
Perikles	B-pers	_	B-pers.other	_	_	O	Q80398	_	_
mit	O	_	O	_	_	O	_	_	_
kleinlichem	O	_	O	_	_	O	_	_	_
Neide	O	_	O	_	_	O	_	_	_
zu	O	_	O	_	_	O	_	_	_
verfolgen	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
139	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
zvovov	O	_	O	_	_	O	_	_	_
iſt	O	_	O	_	_	O	_	_	_
gen	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
definit	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
zu	O	_	O	_	_	O	_	_	_
dua	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
σφαλερόν	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
welches	O	_	O	_	_	O	_	_	_
mit	O	_	O	_	_	O	_	_	_
¿dua	O	_	O	_	_	O	_	_	_
congruiert	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
nicht	O	_	O	_	_	O	_	_	_
mit	O	_	O	_	_	O	_	_	_
πύργου	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
weil	O	_	O	_	_	O	_	_	_
πύργου	O	_	O	_	_	O	_	_	_
6dua	O	_	O	_	_	O	_	_	_
wie	O	_	O	_	_	O	_	_	_
Ein	O	_	O	_	_	O	_	_	_
Begriff	O	_	O	_	_	O	_	_	_
(	O	_	O	_	_	O	_	_	NoSpaceAfter
(Turmſchutz)	O	_	O	_	_	O	_	_	NoSpaceAfter
ſteht	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
hebt	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
Begriff	O	_	O	_	_	O	_	_	_
von	O	_	O	_	_	O	_	_	_
πύργου	O	_	O	_	_	O	_	_	_
6Dua	O	_	O	_	_	O	_	_	_
wieder	O	_	O	_	_	O	_	_	_
auf	O	_	O	_	_	O	_	_	_
(	O	_	O	_	_	O	_	_	NoSpaceAfter
ἄπυργον	O	_	O	_	_	O	_	_	_
πύογου	O	_	O	_	_	O	_	_	_
δῦμα	O	_	O	_	_	O	_	_	NoSpaceAfter
)	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
161	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
καὶ	O	_	O	_	_	O	_	_	_
μέγας	O	_	O	_	_	O	_	_	_
ὀοϑοῖτο	O	_	O	_	_	O	_	_	_
xré	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
ſtatt	O	_	O	_	_	O	_	_	_
eines	O	_	O	_	_	O	_	_	_
untergeordneten	O	_	O	_	_	O	_	_	_
Satzes	O	_	O	_	_	O	_	_	_
(	O	_	O	_	_	O	_	_	NoSpaceAfter
„	O	_	O	_	_	O	_	_	NoSpaceAfter
wie	O	_	O	_	_	O	_	_	_
auch	O	_	O	_	_	O	_	_	_
der	O	_	O	_	_	O	_	_	_
Mächtige	O	_	O	_	_	O	_	_	_
nicht	O	_	O	_	_	O	_	_	_
mächtig	O	_	O	_	_	O	_	_	_
iſt	O	_	O	_	_	O	_	_	_
ohne	O	_	O	_	_	O	_	_	_
die	O	_	O	_	_	O	_	_	_
Schwächeren	O	_	O	_	_	O	_	_	NoSpaceAfter
“	O	_	O	_	_	O	_	_	NoSpaceAfter
)	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
163	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
In	O	_	O	_	_	O	_	_	_
προδιδάσκειν	O	_	O	_	_	O	_	_	_
bezeihnet	O	_	O	_	_	O	_	_	_
πρό	O	_	O	_	_	O	_	_	_
wie	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
προμανϑάνειν	O	_	O	_	_	O	_	_	_
den	O	_	O	_	_	O	_	_	_
Fortſchritt	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
7000	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
τούτων	O	_	O	_	_	O	_	_	_
γνώμας	O	_	O	_	_	O	_	_	_
(	O	_	O	_	_	O	_	_	NoSpaceAfter
Einſicht	O	_	O	_	_	O	_	_	NoSpaceAfter
)	O	_	O	_	_	O	_	_	_
ſ	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
v	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
a	O	_	O	_	_	O	_	_	NoSpaceAfter
