TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/en/retokenized/cu31924087948174_0062.xmi
# hipe2022:license = CC-BY
# hipe2022:language = en
# hipe2022:document_type = commentary
# hipe2022:document_id = cu31924087948174_0062
# hipe2022:date = 1881-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.4
# ajmc:title = Sophocles
# ajmc:publication_place = Oxford
# ajmc:publication_date = 1881
# ajmc:page = 62
# ajmc:author = Campbell, Lewis
used	O	_	_	_	_	_	_	_	_
substantively	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
we	O	_	_	_	_	_	_	_	_
need	O	_	_	_	_	_	_	_	_
not	O	_	_	_	_	_	_	_	_
be	O	_	_	_	_	_	_	_	_
precise	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
supplying	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
ellipse	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
Lobeck	O	_	_	_	_	_	_	_	LED0.00
prefers	O	_	_	_	_	_	_	_	_
ὥρας	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
Ajax	O	_	_	_	_	_	_	_	NoSpaceAfter|LED0.00
’	O	_	_	_	_	_	_	_	_
condition	O	_	_	_	_	_	_	_	_
on	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
previous	O	_	_	_	_	_	_	_	_
day	O	_	_	_	_	_	_	_	_
was	O	_	_	_	_	_	_	_	_
lamentable	O	_	_	_	_	_	_	_	_
enough	O	_	_	_	_	_	_	_	NoSpaceAfter
:	O	_	_	_	_	_	_	_	_
what	O	_	_	_	_	_	_	_	_
new	O	_	_	_	_	_	_	_	_
trouble	O	_	_	_	_	_	_	_	_
has	O	_	_	_	_	_	_	_	_
arisen	O	_	_	_	_	_	_	_	_
during	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
night	O	_	_	_	_	_	_	_	_
?	O	_	_	_	_	_	_	_	EndOfSentence
210	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
Τελεύταντος	O	_	_	_	_	_	_	_	NoSpaceAfter
]	O	_	_	_	_	_	_	_	_
The	O	_	_	_	_	_	_	_	_
first	O	_	_	_	_	_	_	_	_
syllable	O	_	_	_	_	_	_	_	_
is	O	_	_	_	_	_	_	_	_
to	O	_	_	_	_	_	_	_	_
be	O	_	_	_	_	_	_	_	_
scanned	O	_	_	_	_	_	_	_	_
as	O	_	_	_	_	_	_	_	_
long	O	_	_	_	_	_	_	_	_
:	O	_	_	_	_	_	_	_	_
cp	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
Ἱππὸ	O	_	_	_	_	_	_	_	_
pédav	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
Παρθενοπαῖος	O	_	_	_	_	_	_	_	_
in	O	_	_	_	_	_	_	_	_
Jambic	O	_	_	_	_	_	_	_	_
verse	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
Others	O	_	_	_	_	_	_	_	_
read	O	_	_	_	_	_	_	_	_
Φρυγίοιο	O	_	_	_	_	_	_	_	_
for	O	_	_	_	_	_	_	_	_
Φρυγίου	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
which	O	_	_	_	_	_	_	_	_
is	O	_	_	_	_	_	_	_	_
questionable	O	_	_	_	_	_	_	_	_
both	O	_	_	_	_	_	_	_	_
as	O	_	_	_	_	_	_	_	_
to	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
form	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
genitive	O	_	_	_	_	_	_	_	_
and	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
division	O	_	_	_	_	_	_	_	_
of	O	_	_	_	_	_	_	_	_
the	O	_	_	_	_	_	_	_	_
line	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
