TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/en/retokenized/sophoclesplaysa05campgoog_0088.xmi
# hipe2022:license = CC-BY
# hipe2022:language = en
# hipe2022:document_type = commentary
# hipe2022:document_id = sophoclesplaysa05campgoog_0088
# hipe2022:date = 1896-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.4
# ajmc:title = Sophocles: The Plays and Fragments
# ajmc:publication_place = London
# ajmc:publication_date = 1896
# ajmc:page = 88
# ajmc:author = Jebb, Richard Claverhouse
mentioned	O	_	O	_	_	O	_	_	_
elsewhere	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
but	O	_	O	_	_	O	_	_	_
Heyne	B-pers	_	B-pers.editor	_	_	O	Q63182	_	LED0.00
identifies	O	_	O	_	_	O	_	_	_
it	O	_	O	_	_	O	_	_	_
with	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
often	O	_	O	_	_	O	_	_	NoSpaceAfter
-	O	_	O	_	_	O	_	_	NoSpaceAfter
quoted	O	_	O	_	_	O	_	_	_
Αἰθίοπες	B-work	_	B-work.primlit	_	_	O	NIL	_	NoSpaceAfter|LED0.00
,	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
as	O	_	O	_	_	O	_	_	_
Memnon	B-pers	_	B-pers.myth	_	_	O	Q506781	_	LED0.00
was	O	_	O	_	_	O	_	_	_
king	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
that	O	_	O	_	_	O	_	_	_
people	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
this	O	_	O	_	_	O	_	_	_
seems	O	_	O	_	_	O	_	_	_
very	O	_	O	_	_	O	_	_	_
probable	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
The	O	_	O	_	_	O	_	_	_
Aethiopis	B-work	_	B-work.primlit	_	_	O	Q410483	_	LED0.00
of	O	_	O	_	_	O	_	_	_
Arctnus	B-pers	_	B-pers.author	_	_	O	Q554683	_	LED0.12
would	O	_	O	_	_	O	_	_	_
have	O	_	O	_	_	O	_	_	_
furnished	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
material	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
3	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
4	O	_	O	_	_	O	_	_	_
τῆς	O	_	O	_	_	O	_	_	_
κρίσεως	O	_	O	_	_	O	_	_	_
μὴ	O	_	O	_	_	O	_	_	_
τυχὼν.διέφθαρται	O	_	O	_	_	O	_	_	NoSpaceAfter
τὴν	O	_	O	_	_	O	_	_	_
γνώμην	O	_	O	_	_	O	_	_	NoSpaceAfter
]	O	_	O	_	_	O	_	_	EndOfSentence
In	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
play	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
madness	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
Ajax	B-pers	_	B-pers.myth	_	_	O	Q172725	_	LED0.00
is	O	_	O	_	_	O	_	_	_
not	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
result	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
his	O	_	O	_	_	O	_	_	_
disappointment	O	_	O	_	_	O	_	_	NoSpaceAfter
about	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
arms	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
but	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
Athena	B-pers	_	B-pers.myth	_	_	O	Q37122	_	NoSpaceAfter|LED0.00
