TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
‘Acc.	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
inneren	O	_	_	_	_	_	_	_	_
Objekts	O	_	_	_	_	_	_	_	_
zu	O	_	_	_	_	_	_	_	_
ἐφυβοίζει,	O	_	_	_	_	_	_	_	_
an	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Stelle	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
ὕβοιν	O	_	_	_	_	_	_	_	_
tretend	O	_	_	_	_	_	_	_	_
(„er	O	_	_	_	_	_	_	_	_
frönt	O	_	_	_	_	_	_	_	_
mit	O	_	_	_	_	_	_	_	_
Höhnen	O	_	_	_	_	_	_	_	_
ſeinem	O	_	_	_	_	_	_	_	_
finſteren	O	_	_	_	_	_	_	_	_
Sinn“).	O	_	_	_	_	_	_	_	EndOfLine
956.	O	_	_	_	_	_	_	_	_
πολύτλας	O	_	_	_	_	_	_	_	_
(nah	O	_	_	_	_	_	_	_	_
Homer)	O	_	_	_	_	_	_	_	Partial-0:5
ironiſch.	O	_	_	_	_	_	_	_	EndOfLine
957.	O	_	_	_	_	_	_	_	_
μαινομένοις	O	_	_	_	_	_	_	_	_
von	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Perſon	O	_	_	_	_	_	_	_	_
übertragen.	O	_	_	_	_	_	_	_	_
Vgl.	O	_	_	_	_	_	_	_	_
μανιάσιν	O	_	_	_	_	_	_	_	_
νόσοις	O	_	_	_	_	_	_	_	_
59,	B-primary-partial	_	_	_	_	_	_	_	EndOfLine|Partial-0:2
959.	O	_	_	_	_	_	_	_	_
ξύν	O	_	_	_	_	_	_	_	_
τε	O	_	_	_	_	_	_	_	_
(γελῶσι)	O	_	_	_	_	_	_	_	_
wie	O	_	_	_	_	_	_	_	_
1288,	B-primary-partial	_	_	_	_	_	_	_	Partial-0:4
Ant.	B-primary-full	_	_	_	_	_	_	_	_
85	I-primary-full	_	_	_	_	_	_	_	_
κρυφῇ	O	_	_	_	_	_	_	_	_
