TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/minireference/en/retokenized/cu31924087948174_0035.xmi
# hipe2022:license = CC-BY
# hipe2022:language = en
# hipe2022:document_type = commentary
# hipe2022:document_id = cu31924087948174_0035
# hipe2022:date = 1881-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.2
# ajmc:title = Sophocles
# ajmc:publication_place = Oxford
# ajmc:publication_date = 1881
# ajmc:page = 35
# ajmc:author = Campbell, Lewis
Hector	B-pers	_	B-pers.myth	_	_	O	Q159666	_	_
by	O	_	O	_	_	O	_	_	_
Achilles	B-pers	_	B-pers.myth	_	_	O	Q41746	_	_
before	O	_	O	_	_	O	_	_	_
death	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
which	O	_	O	_	_	O	_	_	_
Euripides	B-pers	_	B-pers.author	_	_	O	Q48305	_	_
also	O	_	O	_	_	O	_	_	_
assumes	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
has	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
all	O	_	O	_	_	O	_	_	_
probability	O	_	O	_	_	O	_	_	_
an	O	_	O	_	_	O	_	_	_
Epic	O	_	O	_	_	O	_	_	_
origin	O	_	O	_	_	O	_	_	NoSpaceAfter
'	O	_	O	_	_	O	_	_	NoSpaceAfter
;	O	_	O	_	_	O	_	_	_
but	O	_	O	_	_	O	_	_	_
Sophocles	B-pers	_	B-pers.author	_	_	O	Q11950683	_	_
is	O	_	O	_	_	O	_	_	_
fairly	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
be	O	_	O	_	_	O	_	_	_
credited	O	_	O	_	_	O	_	_	_
with	O	_	O	_	_	O	_	_	_
making	O	_	O	_	_	O	_	_	_
Ajax	B-pers	_	B-pers.myth	_	_	O	Q172725	_	_
perform	O	_	O	_	_	O	_	_	_
his	O	_	O	_	_	O	_	_	_
last	O	_	O	_	_	O	_	_	_
act	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
presence	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Sun	B-pers	_	B-pers.myth	_	_	O	Q134270	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
not	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
as	O	_	O	_	_	O	_	_	_
Pindar	B-pers	_	B-pers.author	_	_	O	Q134929	_	_
describes	O	_	O	_	_	O	_	_	_
it	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
at	O	_	O	_	_	O	_	_	_
dead	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
night	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
or	O	_	O	_	_	O	_	_	_
as	O	_	O	_	_	O	_	_	_
Arctinus	B-pers	_	B-pers.author	_	_	O	Q554683	_	_
(	O	_	O	_	_	O	_	_	NoSpaceAfter
according	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
