TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# document_id = sophoclesplaysa05campgoog_0014
# title = Sophocles: The Plays and Fragments
# author = Jebb, Richard Claverhouse
# publication_date = 1896
# publication_place = London
# page = 14
§	O	_	O	_	_	O	_	_	_
1	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
AMONG	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
plays	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
Sophocles	B-pers	_	B-pers.author	_	_	O	Q11950683	_	_
there	O	_	O	_	_	O	_	_	_
were	O	_	O	_	_	O	_	_	_
many	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
as	O	_	O	_	_	O	_	_	_
titles	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
fragments	O	_	O	_	_	O	_	_	_
show	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
which	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
scene	O	_	O	_	_	O	_	_	_
was	O	_	O	_	_	O	_	_	_
laid	O	_	O	_	_	O	_	_	_
at	O	_	O	_	_	O	_	_	_
Troy	B-loc	_	B-loc	_	_	O	Q22647	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
and	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
which	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
action	O	_	O	_	_	O	_	_	_
was	O	_	O	_	_	O	_	_	_
founded	O	_	O	_	_	O	_	_	_
on	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
epics	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Trojan	O	_	O	_	_	O	_	_	_
cycle	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfLine
This	O	_	O	_	_	O	_	_	_
series	O	_	O	_	_	O	_	_	_
ranged	O	_	O	_	_	O	_	_	_
over	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
whole	O	_	O	_	_	O	_	_	_
course	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
ten	O	_	O	_	_	O	_	_	_
years	O	_	O	_	_	O	_	_	NoSpaceAfter
’	O	_	O	_	_	O	_	_	_
war	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
from	O	_	O	_	_	O	_	_	_
its	O	_	O	_	_	O	_	_	_
earliest	O	_	O	_	_	O	_	_	_
incidents	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
as	O	_	O	_	_	O	_	_	_
told	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Cypria	B-work	_	B-work.primlit	_	_	O	Q1075630	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
down	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
fall	O	_	O	_	_	O	_	_	_
of	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
city	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
as	O	_	O	_	_	O	_	_	_
told	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
Jliupersis	O	_	O	_	_	O	_	_	NoSpaceAfter
