TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/de/retokenized/Wecklein1894_0007.xmi
# hipe2022:license = CC-BY
# hipe2022:language = de
# hipe2022:document_type = commentary
# hipe2022:document_id = Wecklein1894_0007
# hipe2022:date = 1894-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.4
# ajmc:title = Sophokleus Aias
# ajmc:publication_place = München
# ajmc:publication_date = 1894
# ajmc:page = 7
# ajmc:author = Wecklein, Nikolaus
bald	O	_	_	_	_	_	_	_	_
auf	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Spähe	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
um	O	_	_	_	_	_	_	_	_
den	O	_	_	_	_	_	_	_	_
Urheber	O	_	_	_	_	_	_	_	_
feſtzuſtellen	O	_	_	_	_	_	_	_	_
und	O	_	_	_	_	_	_	_	_
Bedeutung	O	_	_	_	_	_	_	_	NoSpaceAfter
und	O	_	_	_	_	_	_	_	_
Zweck	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
That	O	_	_	_	_	_	_	_	_
auszukundſchaften	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
Damit	O	_	_	_	_	_	_	_	_
beginnt	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Handlung	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
Schon	O	_	_	_	_	_	_	_	_
bei	O	_	_	_	_	_	_	_	_
Homer	O	_	_	_	_	_	_	_	LED0.00
(	O	_	_	_	_	_	_	_	NoSpaceAfter
vgl	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
beſonders	O	_	_	_	_	_	_	_	_
H	B-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|LED0.00
196	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|LED0.00
ff	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
,	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
P	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|LED0.00
634	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
,	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
H	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|LED0.00
288	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
,	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference
N	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|LED0.00
312	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|LED0.00
f	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	I-primary-partial	_	_	_	_	_	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
)	O	_	_	_	_	_	_	_	_
find	O	_	_	_	_	_	_	_	_
die	O	_	_	_	_	_	_	_	_
Grundzüge	O	_	_	_	_	_	_	_	_
der	O	_	_	_	_	_	_	_	_
Charakteriſtik	O	_	_	_	_	_	_	_	_
des	O	_	_	_	_	_	_	_	_
Helden	O	_	_	_	_	_	_	_	_
vorgezeichnet	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	EndOfSentence
