TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/fr/retokenized/lestragdiesdeso00tourgoog_0014.xmi
# hipe2022:license = CC-BY
# hipe2022:language = fr
# hipe2022:document_type = commentary
# hipe2022:document_id = lestragdiesdeso00tourgoog_0014
# hipe2022:date = 1886-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.4
# ajmc:title = Les tragédies de Sophocle
# ajmc:publication_place = Paris
# ajmc:publication_date = 1886
# ajmc:page = 14
# ajmc:author = Tournier, Édouard
L	O	_	_	_	_	_	_	_	NoSpaceAfter
'	O	_	_	_	_	_	_	_	NoSpaceAfter
édition	O	_	_	_	_	_	_	_	_
publiée	O	_	_	_	_	_	_	_	_
à	O	_	_	_	_	_	_	_	_
Oxford	O	_	_	_	_	_	_	_	NoSpaceAfter|LED0.00
,	O	_	_	_	_	_	_	_	_
1l	O	_	_	_	_	_	_	_	_
y	O	_	_	_	_	_	_	_	_
a	O	_	_	_	_	_	_	_	_
sept	O	_	_	_	_	_	_	_	_
ans	O	_	_	_	_	_	_	_	NoSpaceAfter
,	O	_	_	_	_	_	_	_	_
par	O	_	_	_	_	_	_	_	_
M	O	_	_	_	_	_	_	_	NoSpaceAfter
.	O	_	_	_	_	_	_	_	_
Guillaume	O	_	_	_	_	_	_	_	LED0.00
Dindorf	O	_	_	_	_	_	_	_	NoSpaceAfter|LED0.00
,	O	_	_	_	_	_	_	_	_
marque	O	_	_	_	_	_	_	_	_
une	O	_	_	_	_	_	_	_	_
ère	O	_	_	_	_	_	_	_	_
nouvelle	O	_	_	_	_	_	_	_	_
dans	O	_	_	_	_	_	_	_	_
l	O	_	_	_	_	_	_	_	NoSpaceAfter
'	O	_	_	_	_	_	_	_	NoSpaceAfter
histoire	O	_	_	_	_	_	_	_	_
du	O	_	_	_	_	_	_	_	_
texte	O	_	_	_	_	_	_	_	_
de	O	_	_	_	_	_	_	_	_
Sophocle	O	_	_	_	_	_	_	_	NoSpaceAfter|LED0.00
.	O	_	_	_	_	_	_	_	EndOfSentence
Dire	O	_	_	_	_	_	_	_	_
en	O	_	_	_	_	_	_	_	_
quoi	O	_	_	_	_	_	_	_	_
