	surface	ocr_transcript	gold_transcript	noisy_entity	document_id	language	entity_fine_type	wikidata_id
0	Aias	Aias		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q172725
1	Telamon	Telamon		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q331327
2	Aakos	Aakos		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q206187
3	Zeus	Zeus		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q34201
4	Achilleus	Achilleus		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q41746
5	Aias	Aias		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q172725
6	Achilleus	Achilleus		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q41746
7	Aias	Aias		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q172725
8	Odyſſeus	Odyſjeus	Odyſſeus	True	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q47231
9	Odyſſeus	Odyſſeus		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q47231
10	Menelaos	Menelaos		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q171839
11	Aias	Aias		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q172725
12	Teukros	Teukros		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q878184
13	Aias	Aia3	Aias	True	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q172725
14	Odyſſeus	Odyſſeus		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q47231
15	Odyſſeus	Odyſſeus		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q47231
16	Aias	Aias		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q172725
17	Athena	Athena		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q37122
18	Aias	Aias		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q172725
19	Odyſſeus	Odyſſeus		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q47231
20	Aias	Aia3	Aias	True	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q172725
21	Odyſſeus	Odyſſeus		False	Wecklein1894_0006	de	pers.myth	http://www.wikidata.org/entity/Q47231
22	Homer	Homer		False	Wecklein1894_0007	de	pers.author	http://www.wikidata.org/entity/Q6691
23	Sophokles	Sophokles		False	Wecklein1894_0007	de	pers.author	http://www.wikidata.org/entity/Q11950683
24	Sophokles	Sophokles		False	Wecklein1894_0007	de	pers.author	http://www.wikidata.org/entity/Q11950683
25	Aias	Aias		False	Wecklein1894_0007	de	pers.myth	http://www.wikidata.org/entity/Q172725
26	Tekmeſſa	Tekmeſſa		False	Wecklein1894_0007	de	pers.myth	http://www.wikidata.org/entity/Q10796858
27	Euryſakes	Euryſakes		False	Wecklein1894_0007	de	pers.myth	http://www.wikidata.org/entity/Q1378566
28	Telamon	Telamon		False	Wecklein1894_0007	de	pers.myth	http://www.wikidata.org/entity/Q331327
29	Eriböa	Eriböa		False	Wecklein1894_0007	de	pers.myth	http://www.wikidata.org/entity/Q1295435
30	Achilleus	Achilleus		False	Wecklein1894_0007	de	pers.myth	http://www.wikidata.org/entity/Q41746
31	Aias	Aias		False	Wecklein1894_0007	de	pers.myth	http://www.wikidata.org/entity/Q172725
32	Aias	Aias		False	Wecklein1894_0007	de	pers.myth	http://www.wikidata.org/entity/Q172725
33	Äthiopis	Äthiopis		False	Wecklein1894_0007	de	work.primlit	http://www.wikidata.org/entity/Q410483
34	Arktinos von Milet	Arktinos von Milet		False	Wecklein1894_0007	de	pers.author	http://www.wikidata.org/entity/Q554683
35	Milet	Milet		False	Wecklein1894_0007	de	loc	
36	um 770 v. Chr.	um 770 v. Chr.		False	Wecklein1894_0007	de	date	
37	Achilleus	Achilleus		False	Wecklein1894_0007	de	pers.myth	http://www.wikidata.org/entity/Q41746
38	Aias	Aias		False	Wecklein1894_0007	de	pers.myth	http://www.wikidata.org/entity/Q172725
39	Odyſſeus	Odyſſeus		False	Wecklein1894_0007	de	pers.myth	http://www.wikidata.org/entity/Q47231
