surface	wikidata_id	document_id	entity_fine_type
0. C.	http://www.wikidata.org/entity/Q294001	sophokle1v3soph_0082, sophokle1v3soph_0108, sophokle1v3soph_0125, sophokle1v3soph_0140	work.primlit
0. R.	http://www.wikidata.org/entity/Q148643	sophokle1v3soph_0108	work.primlit
11	http://www.wikidata.org/entity/Q8275	cu31924087948174_0046	work.primlit
5εΠηεῖ- dewin	http://www.wikidata.org/entity/Q70043	lestragdiesdeso00tourgoog_0086	pers.other
5εϊιπεϊάενίη	http://www.wikidata.org/entity/Q70043	lestragdiesdeso00tourgoog_0106	pers.other
A.	http://www.wikidata.org/entity/Q172725	sophokle1v3soph_0054, sophokle1v3soph_0069, sophokle1v3soph_0108	pers.myth
A. Nauck	http://www.wikidata.org/entity/Q95964	cu31924087948174_0014	pers.editor
Aakos	http://www.wikidata.org/entity/Q206187	Wecklein1894_0006, Wecklein1894_0060	pers.myth
Abbott	http://www.wikidata.org/entity/Q5416283	cu31924087948174_0010	pers.other
Accius	http://www.wikidata.org/entity/Q311287	Wecklein1894_0053, Wecklein1894_0096	work.primlit, pers.author
Ach.	http://www.wikidata.org/entity/Q1059987	sophoclesplaysa05campgoog_0100, sophoclesplaysa05campgoog_0147	work.primlit
Achille	http://www.wikidata.org/entity/Q41746	lestragdiesdeso00tourgoog_0055	pers.myth
Achilles	http://www.wikidata.org/entity/Q41746	cu31924087948174_0035, cu31924087948174_0036, cu31924087948174_0037, cu31924087948174_0047, cu31924087948174_0075, cu31924087948174_0078, cu31924087948174_0080, cu31924087948174_0117, sophoclesplaysa05campgoog_0014, sophoclesplaysa05campgoog_0097, sophoclesplaysa05campgoog_0098, sophoclesplaysa05campgoog_0106	pers.myth
Achilleus	http://www.wikidata.org/entity/Q41746	Wecklein1894_0006, Wecklein1894_0007, Wecklein1894_0008, sophokle1v3soph_0017, sophokle1v3soph_0055, sophokle1v3soph_0062, sophokle1v3soph_0078	pers.myth
Acropolis	http://www.wikidata.org/entity/Q131013	cu31924087948174_0100	loc
Adelph.	http://www.wikidata.org/entity/Q355342	sophoclesplaysa05campgoog_0146	work.primlit
Adrastos	http://www.wikidata.org/entity/Q223152	sophokle1v3soph_0109	pers.myth
Aeacus	http://www.wikidata.org/entity/Q206187	sophoclesplaysa05campgoog_0014	pers.myth
Aegisthus	http://www.wikidata.org/entity/Q212091	sophoclesplaysa05campgoog_0097	pers.myth
Aelian	http://www.wikidata.org/entity/Q313782	sophoclesplaysa05campgoog_0100	pers.author
Aen.	http://www.wikidata.org/entity/Q60220	Wecklein1894_0062, sophoclesplaysa05campgoog_0098	work.primlit
Aesch.	http://www.wikidata.org/entity/Q40939	sophokle1v3soph_0054, sophokle1v3soph_0064, sophokle1v3soph_0065, sophokle1v3soph_0066, sophokle1v3soph_0067, sophokle1v3soph_0069, sophokle1v3soph_0073, sophokle1v3soph_0077, sophokle1v3soph_0078, sophokle1v3soph_0079, sophokle1v3soph_0080, sophokle1v3soph_0082, sophokle1v3soph_0083, sophokle1v3soph_0091, sophokle1v3soph_0108, sophokle1v3soph_0110, sophokle1v3soph_0117, sophokle1v3soph_0122, cu31924087948174_0016, cu31924087948174_0044, cu31924087948174_0045, cu31924087948174_0053, cu31924087948174_0054, cu31924087948174_0056, cu31924087948174_0059, cu31924087948174_0061, cu31924087948174_0064, cu31924087948174_0065, cu31924087948174_0073, cu31924087948174_0075, cu31924087948174_0076, cu31924087948174_0077, cu31924087948174_0078, cu31924087948174_0079, cu31924087948174_0096, cu31924087948174_0100, cu31924087948174_0117, cu31924087948174_0119, cu31924087948174_0138, cu31924087948174_0145, sophoclesplaysa05campgoog_0098, sophoclesplaysa05campgoog_0099, sophoclesplaysa05campgoog_0100, sophoclesplaysa05campgoog_0101, sophoclesplaysa05campgoog_0103, sophoclesplaysa05campgoog_0104, sophoclesplaysa05campgoog_0105, sophoclesplaysa05campgoog_0108, sophoclesplaysa05campgoog_0146, sophoclesplaysa05campgoog_0147, sophoclesplaysa05campgoog_0168, sophoclesplaysa05campgoog_0288, sophoclesplaysa05campgoog_0291	pers.author
Aeschin.	http://www.wikidata.org/entity/Q317089	sophokle1v3soph_0122	pers.author
Aeschy- lus	http://www.wikidata.org/entity/Q40939	sophokle1v3soph_0064, sophokle1v3soph_0079	pers.author
Aeschylos	http://www.wikidata.org/entity/Q40939	sophokle1v3soph_0009	pers.author
Aeschylus	http://www.wikidata.org/entity/Q40939	sophokle1v3soph_0062, cu31924087948174_0016, cu31924087948174_0034, cu31924087948174_0039, cu31924087948174_0040	pers.author
Ag.	http://www.wikidata.org/entity/Q3320792	Wecklein1894_0019, Wecklein1894_0033, Wecklein1894_0035, Wecklein1894_0057, Wecklein1894_0062, Wecklein1894_0064, Wecklein1894_0082, sophokle1v3soph_0065, sophokle1v3soph_0066, sophokle1v3soph_0067, sophokle1v3soph_0117, cu31924087948174_0044, cu31924087948174_0045, cu31924087948174_0059, cu31924087948174_0064, cu31924087948174_0073, cu31924087948174_0075, cu31924087948174_0077, cu31924087948174_0138, sophoclesplaysa05campgoog_0099, sophoclesplaysa05campgoog_0104, sophoclesplaysa05campgoog_0168, sophoclesplaysa05campgoog_0288, sophoclesplaysa05campgoog_0291	work.primlit
Aga- memnon	http://www.wikidata.org/entity/Q128176	sophoclesplaysa05campgoog_0291	pers.myth
Agam.	http://www.wikidata.org/entity/Q3320792	Wecklein1894_0038, sophokle1v3soph_0080, sophokle1v3soph_0091, lestragdiesdeso00tourgoog_0069, lestragdiesdeso00tourgoog_0091, lestragdiesdeso00tourgoog_0111, lestragdiesdeso00tourgoog_0114, lestragdiesdeso00tourgoog_0130	work.primlit
Agamem- non	http://www.wikidata.org/entity/Q128176	sophokle1v3soph_0140	pers.myth
Agamemnon	http://www.wikidata.org/entity/Q128176	Wecklein1894_0033, Wecklein1894_0096, sophokle1v3soph_0065, sophokle1v3soph_0110, sophokle1v3soph_0123, sophokle1v3soph_0138, sophokle1v3soph_0140, cu31924087948174_0012, cu31924087948174_0038, cu31924087948174_0039, cu31924087948174_0064, cu31924087948174_0150, sophoclesplaysa05campgoog_0014, sophoclesplaysa05campgoog_0102, lestragdiesdeso00tourgoog_0145, lestragdiesdeso00tourgoog_0147, lestragdiesdeso00tourgoog_0152, lestragdiesdeso00tourgoog_0155	pers.myth, work.primlit
